congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
108,President,99910,99,0,USA,200,0,0,"BUSH, George Walker",,1946,,0.693,-0.539,-13.82299,0.922,171,2,
108,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-57.5649,0.89366,512,31,1.0
108,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.433,0.542,-67.61226,0.87607,511,35,1.0
108,Senate,12109,81,0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-85.42846,0.848,518,33,
108,Senate,40300,81,0,AK,200,2,5,"MURKOWSKI, Lisa",M001153,1957,,0.208,-0.289,-83.09789,0.8466,499,34,1.0
108,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,,0.381,-0.624,-213.16457,0.65784,509,86,1.0
108,Senate,15429,61,0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.455,-59.38543,0.891,514,23,
108,Senate,29305,42,0,AR,100,0,1,"LINCOLN, Blanche Lambert",L000035,1960,,-0.166,0.178,-123.47273,0.787,516,45,
108,Senate,40301,42,0,AR,100,0,1,"PRYOR, Mark",P000590,1963,,-0.199,0.463,-110.13339,0.808,517,42,
108,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-50.13665,0.905,501,22,
108,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.263,-0.17,-109.83993,0.80658,511,46,1.0
108,Senate,29108,62,0,CO,200,0,1,"ALLARD, A. Wayne",A000109,1943,,0.572,-0.121,-54.54884,0.9,517,22,
108,Senate,95407,62,0,CO,200,0,1,"CAMPBELL, Ben Nighthorse",C000077,1933,,0.23,0.132,-91.88346,0.822,470,39,
108,Senate,14213,1,0,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-73.93604,0.865,510,33,
108,Senate,15704,1,0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-71.21856,0.806,331,28,
108,Senate,14101,11,0,DE,100,0,1,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,-113.30231,0.794,491,49,
108,Senate,15015,11,0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.174,-0.22,-163.05489,0.72726,512,71,1.0
108,Senate,14651,43,0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.192,0.342,-145.69033,0.75193,511,64,1.0
108,Senate,15503,43,0,FL,100,0,1,"GRAHAM, Daniel Robert (Bob)",G000352,1936,,-0.231,-0.012,-103.26021,0.777,410,39,
108,Senate,29512,44,0,GA,200,0,1,"CHAMBLISS, Saxby",C000286,1943,,0.423,0.205,-44.36228,0.915,501,21,
108,Senate,49904,44,0,GA,100,0,1,"MILLER, Zell Bryan",M001141,1932,,0.146,0.105,-108.76228,0.781,439,42,
108,Senate,4812,82,0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-104.15978,0.802,473,38,
108,Senate,14400,82,0,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,,-0.419,0.273,-77.20507,0.854,490,34,
108,Senate,14809,63,0,ID,200,0,1,"CRAIG, Larry Edwin",C000858,1945,,0.494,-0.014,-47.09959,0.912,513,18,
108,Senate,29345,63,0,ID,200,0,1,"CRAPO, Michael Dean",C000880,1951,,0.507,0.274,-46.12918,0.91368,511,17,1.0
108,Senate,15021,21,0,IL,100,0,1,"DURBIN, Richard Joseph",D000563,1944,,-0.365,-0.358,-62.38983,0.88611,516,23,1.0
108,Senate,49900,21,0,IL,200,0,1,"FITZGERALD, Peter G.",F000442,1960,,0.28,-0.825,-103.07809,0.817,511,45,
