congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
113,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-41.04464,0.882,327,11,
113,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-101.80298,0.82789,539,45,1.0
113,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.433,0.542,-109.81143,0.81751,545,55,1.0
113,Senate,40300,81,0,AK,200,0,1,"MURKOWSKI, Lisa",M001153,1957,,0.208,-0.289,-155.7748,0.73942,516,81,1.0
113,Senate,40900,81,0,AK,100,0,1,"BEGICH, Mark",B001265,1962,,-0.235,0.15,-48.13809,0.91,512,21,
113,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,,0.381,-0.624,-132.63938,0.77674,525,67,1.0
113,Senate,20100,61,0,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-259.88598,0.61522,535,131,1.0
113,Senate,20101,42,0,AR,200,0,1,"BOOZMAN, John",B001236,1950,,0.402,0.246,-85.92584,0.84239,501,30,1.0
113,Senate,40301,42,0,AR,100,0,1,"PRYOR, Mark",P000590,1963,,-0.199,0.463,-64.2729,0.885,528,26,
113,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-19.24984,0.963,512,8,
113,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.263,-0.17,-23.56345,0.95595,523,10,1.0
113,Senate,29906,62,0,CO,100,0,1,"UDALL, Mark",U000038,1950,,-0.353,0.049,-35.83642,0.933,519,11,
113,Senate,40910,62,0,CO,100,0,1,"BENNET, Michael F.",B001267,1964,,-0.208,-0.112,-28.99059,0.94847,548,9,1.0
113,Senate,20707,1,0,CT,100,0,1,"MURPHY, Christopher",M001169,1973,,-0.311,-0.186,-27.86165,0.95043,548,12,1.0
113,Senate,41101,1,0,CT,100,0,1,"BLUMENTHAL, Richard",B001277,1946,,-0.419,-0.096,-18.83851,0.96639,551,7,1.0
113,Senate,15015,11,0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.174,-0.22,-55.07785,0.90487,551,12,1.0
113,Senate,40916,11,0,DE,100,0,1,"COONS, Christopher A.",C001088,1963,,-0.282,-0.225,-24.20458,0.95625,541,11,1.0
113,Senate,14651,43,0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.192,0.342,-48.35441,0.91374,536,19,1.0
113,Senate,41102,43,0,FL,200,0,1,"RUBIO, Marco",R000595,1971,,0.589,-0.327,-139.89095,0.7657,524,65,1.0
113,Senate,29512,44,0,GA,200,0,1,"CHAMBLISS, Saxby",C000286,1943,,0.423,0.205,-135.34325,0.753,478,64,
113,Senate,29909,44,0,GA,200,0,1,"ISAKSON, Johnny",I000055,1944,,0.404,-0.017,-128.21486,0.7844,528,61,1.0
113,Senate,20713,82,0,HI,100,0,1,"HIRONO, Mazie",H001042,1947,,-0.488,-0.097,-16.06388,0.97127,551,8,1.0
113,Senate,41112,82,0,HI,100,0,5,"SCHATZ, Brian Emanuel",S001194,1972,,-0.402,-0.119,-10.15717,0.98024,509,2,1.0
113,Senate,29345,63,0,ID,200,0,1,"CRAPO, Michael Dean",C000880,1951,,0.507,0.274,-104.6623,0.82585,547,45,1.0
113,Senate,40902,63,0,ID,200,0,1,"RISCH, James",R000584,1943,,0.631,0.575,-64.40764,0.88757,540,25,1.0
113,Senate,15021,21,0,IL,100,0,1,"DURBIN, Richard Joseph",D000563,1944,,-0.365,-0.358,-19.14829,0.96578,550,7,1.0
113,Senate,20115,21,0,IL,200,0,1,"KIRK, Mark Steven",K000360,1959,,0.274,-0.647,-176.7963,0.705,506,92,
113,Senate,14806,22,0,IN,200,0,1,"COATS, Daniel Ray",C000542,1943,,0.375,-0.227,-123.88821,0.795,539,55,
113,Senate,20717,22,0,IN,100,0,1,"DONNELLY, Joe",D000607,1955,,-0.12,0.429,-61.92981,0.89333,549,16,1.0
113,Senate,14226,31,0,IA,200,0,1,"GRASSLEY, Charles Ernest",G000386,1933,,0.341,-0.07,-135.54392,0.78227,552,72,1.0
113,Senate,14230,31,0,IA,100,0,1,"HARKIN, Thomas Richard (Tom)",H000206,1939,,-0.351,-0.546,-30.33406,0.944,528,12,
113,Senate,14852,32,0,KS,200,0,1,"ROBERTS, Charles Patrick (Pat)",R000307,1936,,0.415,-0.096,-157.55677,0.73643,515,69,1.0
113,Senate,29722,32,0,KS,200,0,1,"MORAN, Jerry",M000934,1954,,0.412,0.268,-106.95232,0.80638,497,47,1.0
113,Senate,14921,51,0,KY,200,0,1,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942,,0.404,0.003,-116.68871,0.80883,550,52,1.0
113,Senate,41104,51,0,KY,200,0,1,"PAUL, Rand",P000603,1963,,0.878,-0.479,-111.72073,0.81217,537,43,1.0
113,Senate,29918,45,0,LA,200,0,1,"VITTER, David",V000127,1961,,0.495,0.323,-110.77719,0.803,506,58,
113,Senate,49702,45,0,LA,100,0,1,"LANDRIEU, Mary L.",L000550,1955,,-0.203,0.444,-55.47109,0.893,492,22,
113,Senate,41300,2,0,ME,328,0,1,"KING, Angus Stanley, Jr.",K000383,1944,,-0.147,-0.256,-62.14842,0.89297,549,29,1.0
113,Senate,49703,2,0,ME,200,0,1,"COLLINS, Susan Margaret",C001035,1952,,0.107,-0.574,-101.47108,0.83208,552,39,1.0
113,Senate,14440,52,0,MD,100,0,1,"MIKULSKI, Barbara Ann",M000702,1936,,-0.37,-0.128,-16.25351,0.97,527,5,
113,Senate,15408,52,0,MD,100,0,1,"CARDIN, Benjamin Louis",C000141,1943,,-0.329,-0.256,-19.11789,0.96584,550,5,1.0
113,Senate,14435,3,0,MA,100,3,2,"MARKEY, Edward John",M000133,1946,,-0.5,-0.43,-10.88561,0.97261,392,5,1.0
113,Senate,14920,3,0,MA,100,1,1,"KERRY, John Forbes",K000148,1943,,-0.352,-0.382,,,,,
113,Senate,41301,3,0,MA,100,0,1,"WARREN, Elizabeth",W000817,1949,,-0.744,-0.312,-28.6169,0.94894,546,17,1.0
113,Senate,41306,3,0,MA,100,2,5,"COWAN, William (Mo)",C001099,1969,,-0.462,0.348,-8.89963,0.936,134,4,
113,Senate,14709,23,0,MI,100,0,1,"LEVIN, Carl",L000261,1934,,-0.395,-0.116,-36.77581,0.934,540,12,
113,Senate,29732,23,0,MI,100,0,1,"STABENOW, Deborah Ann",S000770,1950,,-0.327,0.015,-15.99329,0.97092,542,6,1.0
113,Senate,40700,33,0,MN,100,0,1,"KLOBUCHAR, Amy",K000367,1960,,-0.24,-0.177,-24.5719,0.95607,547,6,1.0
113,Senate,40904,33,0,MN,100,0,1,"FRANKEN, Al",F000457,1951,,-0.413,-0.148,-18.44169,0.96697,549,7,1.0
113,Senate,14009,46,0,MS,200,0,1,"COCHRAN, William Thad",C000567,1937,,0.286,0.05,-107.37626,0.79101,458,46,1.0
113,Senate,29534,46,0,MS,200,0,1,"WICKER, Roger F.",W000437,1951,,0.376,0.365,-100.19899,0.83178,544,47,1.0
113,Senate,29735,34,0,MO,200,0,1,"BLUNT, Roy",B000575,1950,,0.431,0.287,-110.2821,0.80923,521,53,1.0
113,Senate,40701,34,0,MO,100,0,1,"McCASKILL, Claire",M001170,1953,,-0.146,-0.001,-57.13458,0.89614,521,25,1.0
113,Senate,14203,64,0,MT,100,1,1,"BAUCUS, Max Sieben",B000243,1941,,-0.212,0.017,-60.13694,0.804,276,26,
113,Senate,40702,64,0,MT,100,0,1,"TESTER, Jon",T000464,1956,,-0.214,0.172,-90.4827,0.84728,546,28,1.0
113,Senate,41309,64,0,MT,100,2,5,"WALSH, John E.",W000818,1960,,-0.255,0.462,-22.15141,0.922,273,8,
113,Senate,40905,35,0,NE,200,0,1,"JOHANNS, Mike",J000291,1950,,0.391,0.293,-96.6795,0.83,520,38,
113,Senate,41302,35,0,NE,200,0,1,"FISCHER, Debra (Deb)",F000463,1951,,0.473,0.309,-83.17131,0.86013,552,30,1.0
113,Senate,15054,65,0,NV,100,0,1,"REID, Harry",R000146,1939,,-0.276,0.258,-96.68299,0.837,545,31,
113,Senate,20730,65,0,NV,200,0,1,"HELLER, Dean",H001041,1960,,0.463,-0.469,-200.46705,0.69036,541,88,1.0
113,Senate,40906,4,0,NH,100,0,1,"SHAHEEN, Jeanne",S001181,1947,,-0.273,-0.348,-39.8286,0.92977,547,20,1.0
113,Senate,41106,4,0,NH,200,0,1,"AYOTTE, Kelly",A000368,1968,,0.351,-0.612,-128.71369,0.789,544,56,
113,Senate,14914,12,0,NJ,100,1,1,"LAUTENBERG, Frank Raleigh",L000123,1924,2013.0,-0.382,-0.579,-0.35377,0.989,31,0,
113,Senate,29373,12,0,NJ,100,0,1,"MENENDEZ, Robert",M000639,1954,,-0.36,-0.114,-17.34953,0.96867,545,9,1.0
113,Senate,41307,12,0,NJ,200,2,5,"CHIESA, Jeffrey Scott",C001100,1965,,0.218,0.384,-15.28456,0.761,56,10,
113,Senate,41308,12,0,NJ,100,3,2,"BOOKER, Cory Anthony",B001288,1969,,-0.62,-0.241,-8.67628,0.97558,351,4,1.0
113,Senate,20930,66,0,NM,100,0,1,"HEINRICH, Martin",H001046,1971,,-0.283,-0.043,-36.58292,0.93565,550,14,1.0
113,Senate,29924,66,0,NM,100,0,1,"UDALL, Thomas (Tom)",U000039,1948,,-0.456,0.183,-21.3209,0.96198,550,11,1.0
113,Senate,14858,13,0,NY,100,0,1,"SCHUMER, Charles Ellis (Chuck)",S000148,1950,,-0.35,-0.403,-16.92273,0.96975,551,3,1.0
113,Senate,20735,13,0,NY,100,0,1,"GILLIBRAND, Kirsten",G000555,1966,,-0.346,0.081,-31.27747,0.94433,546,12,1.0
113,Senate,29548,47,0,NC,200,0,1,"BURR, Richard M.",B001135,1955,,0.454,-0.059,-111.33648,0.81275,537,46,1.0
113,Senate,40907,47,0,NC,100,0,1,"HAGAN, Kay",H001049,1953,,-0.202,0.281,-53.76165,0.905,538,18,
113,Senate,41107,36,0,ND,200,0,1,"HOEVEN, John",H001061,1957,,0.338,0.334,-98.10343,0.83663,550,34,1.0
113,Senate,41303,36,0,ND,100,0,1,"HEITKAMP, Mary Kathryn (Heidi)",H001069,1955,,-0.128,0.397,-58.6344,0.89729,541,15,1.0
113,Senate,29386,24,0,OH,200,0,1,"PORTMAN, Robert Jones (Rob)",P000449,1955,,0.375,-0.257,-137.02997,0.77478,537,58,1.0
113,Senate,29389,24,0,OH,100,0,1,"BROWN, Sherrod",B000944,1952,,-0.439,-0.144,-24.3093,0.95622,543,12,1.0
113,Senate,15424,53,0,OK,200,0,1,"INHOFE, James Mountain",I000024,1934,,0.551,0.036,-86.41372,0.8368,485,36,1.0
113,Senate,29555,53,0,OK,200,0,1,"COBURN, Thomas Allen",C000560,1948,,0.782,0.055,-98.18576,0.801,442,45,
113,Senate,14871,72,0,OR,100,0,1,"WYDEN, Ronald Lee",W000779,1949,,-0.314,-0.407,-41.94667,0.92683,552,19,1.0
113,Senate,40908,72,0,OR,100,0,1,"MERKLEY, Jeff",M001176,1956,,-0.439,-0.763,-36.67411,0.93481,544,16,1.0
113,Senate,29935,14,0,PA,200,0,1,"TOOMEY, Patrick Joseph",T000461,1961,,0.629,-0.291,-126.65587,0.78885,534,56,1.0
113,Senate,40703,14,0,PA,100,0,1,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.298,0.2,-33.99527,0.93866,537,14,1.0
113,Senate,29142,5,0,RI,100,0,1,"REED, John F. (Jack)",R000122,1949,,-0.39,-0.253,-24.6583,0.95631,552,10,1.0
