congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
98,President,99907,99,0,USA,200,0,0,"REAGAN, Ronald Wilson",,1911.0,2004.0,0.692,-0.713,-91.60017,0.751,320,45,
98,Senate,14705,41,0,AL,100,0,1,"HEFLIN, Howell Thomas",H000445,1921.0,2005.0,-0.095,0.995,-203.90509,0.686,542,101,
98,Senate,14901,41,0,AL,200,0,1,"DENTON, Jeremiah Andrew, Jr.",D000259,1924.0,2014.0,0.467,0.182,-159.09745,0.745,541,75,
98,Senate,12109,81,0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923.0,2010.0,0.219,-0.5,-155.20105,0.748,534,62,
98,Senate,14907,81,0,AK,200,0,1,"MURKOWSKI, Frank Hughes",M001085,1933.0,,0.346,-0.275,-148.19415,0.748,510,68,
98,Senate,3658,61,0,AZ,200,0,1,"GOLDWATER, Barry Morris",G000267,1909.0,1998.0,0.641,-0.289,-136.73008,0.713,404,67,
98,Senate,14502,61,0,AZ,100,0,1,"DeCONCINI, Dennis Webster",D000185,1937.0,,-0.216,0.564,-207.64413,0.648,479,115,
98,Senate,10791,42,0,AR,100,0,1,"PRYOR, David Hampton",P000556,1934.0,,-0.322,0.598,-168.25393,0.722,516,77,
98,Senate,14300,42,0,AR,100,0,1,"BUMPERS, Dale",B001057,1925.0,2016.0,-0.362,0.389,-165.89988,0.729,525,73,
98,Senate,12103,71,0,CA,100,0,1,"CRANSTON, Alan",C000877,1914.0,2000.0,-0.387,-0.207,-99.59563,0.769,380,48,
98,Senate,14915,71,0,CA,200,0,1,"WILSON, Pete",W000607,1933.0,,0.352,-0.428,-162.103,0.752,570,75,
98,Senate,14002,62,0,CO,200,0,1,"ARMSTRONG, William Lester",A000219,1937.0,2016.0,0.508,-0.14,-169.00069,0.723,520,77,
98,Senate,14305,62,0,CO,100,0,1,"HART, Gary Warren",H000287,1936.0,,-0.422,0.087,-77.39716,0.775,303,28,
98,Senate,12032,1,0,CT,200,0,1,"WEICKER, Lowell Palmer, Jr.",W000253,1931.0,,0.072,-0.995,-235.70305,0.624,499,113,
98,Senate,14213,1,0,CT,100,0,1,"DODD, Christopher John",D000388,1944.0,,-0.328,-0.317,-140.18216,0.754,497,70,
98,Senate,11044,11,0,DE,200,0,1,"ROTH, William Victor, Jr.",R000460,1921.0,2003.0,0.272,-0.39,-216.9184,0.679,561,99,
98,Senate,14101,11,0,DE,100,0,1,"BIDEN, Joseph Robinette, Jr.",B000444,1942.0,,-0.314,-0.042,-200.68146,0.695,552,99,
98,Senate,13101,43,0,FL,100,0,1,"CHILES, Lawton Mainor, Jr.",C000356,1930.0,1998.0,-0.224,0.555,-233.76086,0.658,559,117,
98,Senate,14905,43,0,FL,200,0,1,"HAWKINS, Paula",H000374,1927.0,2009.0,0.185,-0.003,-200.40429,0.678,516,95,
98,Senate,14108,44,0,GA,100,0,1,"NUNN, Samuel Augustus",N000171,1938.0,,-0.145,0.754,-229.77496,0.661,554,125,
