congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
111,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-16.3706,0.923,203,6,
111,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-78.71552,0.87589,594,32,1.0
111,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.433,0.542,-140.41206,0.79499,612,75,1.0
111,Senate,40300,81,0,AK,200,0,1,"MURKOWSKI, Lisa",M001153,1957,,0.208,-0.289,-156.472,0.76566,586,76,1.0
111,Senate,40900,81,0,AK,100,0,1,"BEGICH, Mark",B001265,1962,,-0.235,0.15,-87.37909,0.864,600,35,
111,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,,0.381,-0.624,-106.67821,0.83883,607,42,1.0
111,Senate,15429,61,0,AZ,200,0,1,"KYL, Jon Llewellyn",K000352,1942,,0.548,-0.455,-84.84217,0.87,608,37,
111,Senate,29305,42,0,AR,100,0,1,"LINCOLN, Blanche Lambert",L000035,1960,,-0.166,0.178,-164.80066,0.757,592,78,
111,Senate,40301,42,0,AR,100,0,1,"PRYOR, Mark",P000590,1963,,-0.199,0.463,-109.64356,0.836,612,50,
111,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-71.07957,0.889,607,23,
111,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.263,-0.17,-76.47726,0.88289,614,29,1.0
111,Senate,29906,62,0,CO,100,0,1,"UDALL, Mark",U000038,1950,,-0.353,0.049,-140.65982,0.794,611,56,
111,Senate,40500,62,0,CO,100,1,1,"SALAZAR, Kenneth Lee",S001163,1955,,-0.223,0.042,,,,,
111,Senate,40910,62,0,CO,100,2,5,"BENNET, Michael F.",B001267,1964,,-0.208,-0.112,-114.96031,0.82746,607,48,1.0
111,Senate,14213,1,0,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-50.73445,0.919,601,18,
111,Senate,15704,1,0,CT,100,0,1,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-143.51583,0.787,599,62,
111,Senate,14101,11,0,DE,100,1,1,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,,,,,
111,Senate,15015,11,0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.174,-0.22,-129.35933,0.80947,612,53,1.0
111,Senate,40901,11,0,DE,100,2,5,"KAUFMAN, Edward E. (Ted)",K000373,1939,,-0.391,-0.126,-52.71229,0.91,562,19,
111,Senate,40916,11,0,DE,100,3,2,"COONS, Christopher A.",C001088,1963,,-0.282,-0.225,-2.40372,0.94684,44,0,1.0
111,Senate,14651,43,0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.192,0.342,-111.77575,0.83131,605,46,1.0
111,Senate,40501,43,0,FL,200,1,1,"MARTINEZ, Melquiades R. (Mel)",M001162,1946,,0.333,-0.417,-78.9308,0.713,233,38,
111,Senate,40911,43,0,FL,200,2,5,"LEMIEUX, George S.",L000572,1969,,0.34,0.081,-71.21728,0.821,360,31,
111,Senate,29512,44,0,GA,200,0,1,"CHAMBLISS, Saxby",C000286,1943,,0.423,0.205,-83.19101,0.868,588,34,
111,Senate,29909,44,0,GA,200,0,1,"ISAKSON, Johnny",I000055,1944,,0.404,-0.017,-100.54778,0.8332,551,38,1.0
111,Senate,4812,82,0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-43.66876,0.931,612,19,
111,Senate,14400,82,0,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,,-0.419,0.273,-42.8555,0.933,615,20,
