congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
97,President,99907,99,0,USA,200,0,0,"REAGAN, Ronald Wilson",,1911,2004.0,0.692,-0.713,-103.6031,0.741,345,43,
97,Senate,14705,41,0,AL,100,0,1,"HEFLIN, Howell Thomas",H000445,1921,2005.0,-0.095,0.995,-320.74476,0.666,788,138,
97,Senate,14901,41,0,AL,200,0,1,"DENTON, Jeremiah Andrew, Jr.",D000259,1924,2014.0,0.467,0.182,-175.43373,0.796,767,78,
97,Senate,12109,81,0,AK,200,0,1,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-219.14354,0.751,765,96,
97,Senate,14907,81,0,AK,200,0,1,"MURKOWSKI, Frank Hughes",M001085,1933,,0.346,-0.275,-192.99588,0.778,769,76,
97,Senate,3658,61,0,AZ,200,0,1,"GOLDWATER, Barry Morris",G000267,1909,1998.0,0.641,-0.289,-213.95094,0.679,552,91,
97,Senate,14502,61,0,AZ,100,0,1,"DeCONCINI, Dennis Webster",D000185,1937,,-0.216,0.564,-275.28107,0.695,757,130,
97,Senate,10791,42,0,AR,100,0,1,"PRYOR, David Hampton",P000556,1934,,-0.322,0.598,-256.24614,0.721,784,120,
97,Senate,14300,42,0,AR,100,0,1,"BUMPERS, Dale",B001057,1925,2016.0,-0.362,0.389,-264.54128,0.706,760,128,
97,Senate,12103,71,0,CA,100,0,1,"CRANSTON, Alan",C000877,1914,2000.0,-0.387,-0.207,-194.9166,0.767,733,100,
97,Senate,14504,71,0,CA,200,0,1,"HAYAKAWA, Samuel Ichiye",H000384,1906,1992.0,0.433,-0.602,-215.64465,0.748,744,97,
97,Senate,14002,62,0,CO,200,0,1,"ARMSTRONG, William Lester",A000219,1937,2016.0,0.508,-0.14,-255.12076,0.725,793,110,
