congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
114,President,99911,99,0,USA,100,,,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,,,,,
114,Senate,49700,41,0,AL,200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,1946,,0.549,0.13,-109.63029,0.76537,410,46,1.0
114,Senate,94659,41,0,AL,200,0,1,"SHELBY, Richard C.",S000320,1934,,0.433,0.542,-101.73588,0.7769,403,43,1.0
114,Senate,40300,81,0,AK,200,0,1,"MURKOWSKI, Lisa",M001153,1957,,0.208,-0.289,-134.57804,0.72191,413,65,1.0
114,Senate,41500,81,0,AK,200,0,1,"SULLIVAN, Daniel Scott",S001198,1964,,0.461,0.14,-101.12694,0.78235,412,34,1.0
114,Senate,15039,61,0,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,,0.381,-0.624,-117.70292,0.75045,410,59,1.0
114,Senate,20100,61,0,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-151.07924,0.6899,407,70,1.0
114,Senate,20101,42,0,AR,200,0,1,"BOOZMAN, John",B001236,1950,,0.402,0.246,-69.99142,0.84582,418,21,1.0
114,Senate,21301,42,0,AR,200,0,1,"COTTON, Tom",C001095,1977,,0.619,0.124,-64.45153,0.85453,410,27,1.0
114,Senate,15011,71,0,CA,100,0,1,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-46.4471,0.881,368,22,
114,Senate,49300,71,0,CA,100,0,1,"FEINSTEIN, Dianne",F000062,1933,,-0.263,-0.17,-55.40652,0.87273,407,28,1.0
114,Senate,21112,62,0,CO,200,0,1,"GARDNER, Cory",G000562,1974,,0.456,0.002,-111.46545,0.76396,414,43,1.0
114,Senate,40910,62,0,CO,100,0,1,"BENNET, Michael F.",B001267,1964,,-0.208,-0.112,-73.77774,0.8389,420,34,1.0
114,Senate,20707,1,0,CT,100,0,1,"MURPHY, Christopher",M001169,1973,,-0.311,-0.186,-46.05278,0.89568,418,16,1.0
114,Senate,41101,1,0,CT,100,0,1,"BLUMENTHAL, Richard",B001277,1946,,-0.419,-0.096,-46.84656,0.89398,418,15,1.0
114,Senate,15015,11,0,DE,100,0,1,"CARPER, Thomas Richard",C000174,1947,,-0.174,-0.22,-90.7886,0.80093,409,37,1.0
114,Senate,40916,11,0,DE,100,0,1,"COONS, Christopher A.",C001088,1963,,-0.282,-0.225,-44.88961,0.89459,403,23,1.0
114,Senate,14651,43,0,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.192,0.342,-96.44312,0.78288,394,40,1.0
114,Senate,41102,43,0,FL,200,0,1,"RUBIO, Marco",R000595,1971,,0.589,-0.327,-85.6662,0.75016,298,31,1.0
114,Senate,29909,44,0,GA,200,0,1,"ISAKSON, Johnny",I000055,1944,,0.404,-0.017,-75.42508,0.8349,418,27,1.0
114,Senate,41501,44,0,GA,200,0,1,"PERDUE, David Alfred, Jr.",P000612,1949,,0.657,-0.317,-93.80498,0.79769,415,42,1.0
114,Senate,20713,82,0,HI,100,0,1,"HIRONO, Mazie",H001042,1947,,-0.488,-0.097,-36.56933,0.91642,419,11,1.0
114,Senate,41112,82,0,HI,100,0,1,"SCHATZ, Brian Emanuel",S001194,1972,,-0.402,-0.119,-43.45173,0.90104,417,17,1.0
114,Senate,29345,63,0,ID,200,0,1,"CRAPO, Michael Dean",C000880,1951,,0.507,0.274,-78.23972,0.82704,412,38,1.0
114,Senate,40902,63,0,ID,200,0,1,"RISCH, James",R000584,1943,,0.631,0.575,-62.09405,0.86226,419,30,1.0
114,Senate,15021,21,0,IL,100,0,1,"DURBIN, Richard Joseph",D000563,1944,,-0.365,-0.358,-38.60468,0.91035,411,16,1.0
114,Senate,20115,21,0,IL,200,0,1,"KIRK, Mark Steven",K000360,1959,,0.274,-0.647,-139.86855,0.706,402,65,
114,Senate,14806,22,0,IN,200,0,1,"COATS, Daniel Ray",C000542,1943,,0.375,-0.227,-111.40278,0.763,411,44,
114,Senate,20717,22,0,IN,100,0,1,"DONNELLY, Joe",D000607,1955,,-0.12,0.429,-114.04173,0.76023,416,47,1.0
114,Senate,14226,31,0,IA,200,0,1,"GRASSLEY, Charles Ernest",G000386,1933,,0.341,-0.07,-113.57939,0.76305,420,49,1.0
