congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
103,President,99909,99,0,USA,100,0,0,"CLINTON, William Jefferson (Bill)",,1946,,-0.438,0.033,-75.63745,0.786,314,42,
103,Senate,14659,41,0,AL,100,0,0,"SHELBY, Richard C.",S000320,1934,,0.013,0.658,-226.63392,0.681,591,116,
103,Senate,14705,41,0,AL,100,0,0,"HEFLIN, Howell Thomas",H000445,1921,2005.0,-0.095,0.995,-222.49127,0.698,620,104,
103,Senate,12109,81,0,AK,200,0,0,"STEVENS, Theodore Fulton (Ted)",S000888,1923,2010.0,0.219,-0.5,-222.26393,0.699,620,98,
103,Senate,14907,81,0,AK,200,0,0,"MURKOWSKI, Frank Hughes",M001085,1933,,0.346,-0.275,-159.65336,0.765,596,70,
103,Senate,14502,61,0,AZ,100,0,0,"DeCONCINI, Dennis Webster",D000185,1937,,-0.216,0.564,-273.05076,0.65,633,132,
103,Senate,15039,61,0,AZ,200,0,0,"McCAIN, John Sidney, III",M000303,1936,,0.381,-0.624,-184.02636,0.74354,621,79,1.0
103,Senate,10791,42,0,AR,100,0,0,"PRYOR, David Hampton",P000556,1934,,-0.322,0.598,-128.62271,0.807,601,59,
103,Senate,14300,42,0,AR,100,0,0,"BUMPERS, Dale",B001057,1925,2016.0,-0.362,0.389,-150.20691,0.79,637,71,
103,Senate,15011,71,0,CA,100,0,0,"BOXER, Barbara",B000711,1940,,-0.45,-0.423,-134.57945,0.81,639,68,
103,Senate,49300,71,0,CA,100,0,0,"FEINSTEIN, Dianne",F000062,1933,,-0.263,-0.17,-163.25335,0.7733,635,77,1.0
103,Senate,14803,62,0,CO,200,0,0,"BROWN, George Hanks (Hank)",B000919,1940,,0.511,-0.762,-169.66016,0.768,644,72,
103,Senate,15407,62,0,CO,100,0,0,"CAMPBELL, Ben Nighthorse",C000077,1933,,-0.141,0.07,-231.75415,0.688,620,104,
103,Senate,14213,1,0,CT,100,0,0,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-136.15068,0.804,623,60,
103,Senate,15704,1,0,CT,100,0,0,"LIEBERMAN, Joseph I.",L000304,1942,,-0.205,-0.312,-198.97952,0.732,638,88,
103,Senate,11044,11,0,DE,200,0,0,"ROTH, William Victor, Jr.",R000460,1921,2003.0,0.272,-0.39,-321.98118,0.605,641,144,
103,Senate,14101,11,0,DE,100,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.314,-0.042,-130.82989,0.81,622,60,
103,Senate,15037,43,0,FL,200,0,0,"MACK, Connie, III",M000019,1940,,0.466,-0.321,-170.35764,0.768,645,68,
103,Senate,15503,43,0,FL,100,0,0,"GRAHAM, Daniel Robert (Bob)",G000352,1936,,-0.231,-0.012,-175.70231,0.761,644,77,
103,Senate,14108,44,0,GA,100,0,0,"NUNN, Samuel Augustus",N000171,1938,,-0.145,0.754,-206.31883,0.716,618,105,
103,Senate,49301,44,0,GA,200,0,0,"COVERDELL, Paul",C000813,1939,2000.0,0.407,-0.003,-128.26766,0.815,627,52,
103,Senate,4812,82,0,HI,100,0,0,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-122.0351,0.811,583,54,
103,Senate,14400,82,0,HI,100,0,0,"AKAKA, Daniel Kahikina",A000069,1924,,-0.419,0.273,-109.41043,0.844,647,50,
